Spieltag,SpielID,Mannschaft,Name,Nummer,Tore,7m,7m Tore,Gelb,2min,Disqualification,Position,Home_Away
Spieltag 1,30059,TSV Wolfschlugen,Vanessa Schrag,5,0,0,0,0,0,0,Rückraum Links,home
Spieltag 1,30059,TSV Wolfschlugen,Miriam Massong,2,0,0,0,0,0,0,Linksaußen,home
Spieltag 1,30059,TSV Wolfschlugen,Jana Lorenz,4,0,0,0,0,0,0,Rückraum Links,home
Spieltag 1,30059,TSV Wolfschlugen,Jasmin Dirmeier,8,4,0,0,0,0,0,Kreisläufer,home
Spieltag 1,30059,TSV Wolfschlugen,Stephanie Frick,9,3,0,0,0,0,0,Linksaußen,home
Spieltag 1,30059,TSV Wolfschlugen,Antonia Amann,10,2,0,0,1,1,0,Rückraum Mitte,home
Spieltag 1,30059,TSV Wolfschlugen,Stefanie Ege,12,0,0,0,0,0,0,Torwart,home
Spieltag 1,30059,TSV Wolfschlugen,Mara Seitzer,11,6,0,0,0,0,0,Rückraum rechts,home
Spieltag 1,30059,TSV Wolfschlugen,Emmelie Beitlich,14,3,3,0,0,0,0,Rechtsaußen,home
Spieltag 1,30059,TSV Wolfschlugen,Melanie Kraiser,18,0,0,0,0,0,0,Torwart,home
Spieltag 1,30059,TSV Wolfschlugen,Harriet Seckinger,22,2,0,0,0,2,0,Rückraum rechts,home
Spieltag 1,30059,TSV Wolfschlugen,Lenya Treusch,27,3,0,0,1,0,0,Rückraum Links,home
Spieltag 1,30059,TSV Wolfschlugen,Sara Karwounopoulos,38,0,0,0,0,0,0,Kreisläufer,home
Spieltag 1,30059,TSV Wolfschlugen,Nina Vollmer,56,2,0,0,1,0,0,Rückraum Mitte,home
Spieltag 1,30059,TSV Wolfschlugen,Sina Stumpp,66,0,0,0,0,1,0,Rückraum Mitte,home
Spieltag 1,30059,TSV Haunstetten,Patricia Horner,6,5,0,0,1,0,0,Rückraum Mitte,away
Spieltag 1,30059,TSV Haunstetten,Anja Niebert,7,0,0,0,0,0,0,Rückraum Mitte,away
Spieltag 1,30059,TSV Haunstetten,Lea Walter,8,3,0,0,0,0,0,Kreisläufer,away
Spieltag 1,30059,TSV Haunstetten,Magdalena Frey,12,0,0,0,0,0,0,Torwart,away
Spieltag 1,30059,TSV Haunstetten,Chiara Joerss,14,0,0,0,0,1,0,Rückraum Links,away
Spieltag 1,30059,TSV Haunstetten,Lena Keßler,15,1,0,0,0,0,0,Linksaußen,away
Spieltag 1,30059,TSV Haunstetten,Michelle Schäfer,17,4,0,0,0,1,0,Linksaußen,away
Spieltag 1,30059,TSV Haunstetten,Sarah Irmler,18,6,3,0,1,2,0,Rückraum Links,away
Spieltag 1,30059,TSV Haunstetten,Anne Hänsel,19,0,0,0,1,0,0,Rückraum rechts,away
Spieltag 1,30059,TSV Haunstetten,Mona Hoffmann,20,0,0,0,0,1,0,Rückraum rechts,away
Spieltag 1,30059,TSV Haunstetten,Daniela Knöpfle,22,0,0,0,0,0,0,Kreisläufer,away
Spieltag 1,30059,TSV Haunstetten,Anne Kurstedt,23,0,0,0,0,0,0,Rückraum Links,away
Spieltag 1,30059,TSV Haunstetten,Pauline Driske,25,0,0,0,0,0,0,Rückraum Mitte,away
Spieltag 1,30059,TSV Haunstetten,Selina Schmid,94,0,0,0,0,0,0,Torwart,away
Spieltag 1,30059,TSV Haunstetten,Sabrina Albrecht,16,0,0,0,0,0,0,Torwart,away
Spieltag 1,30059,TSV Haunstetten,Sabrina Fischer,13,6,0,0,0,0,0,Rechtsaußen,away
Spieltag 1,30062,Sportverein Allensbach,Katja Allgaier,44,0,0,0,0,0,0,Rückraum rechts,home
Spieltag 1,30062,Sportverein Allensbach,Katharina Bok,11,0,0,0,0,0,0,Rückraum Mitte,home
Spieltag 1,30062,Sportverein Allensbach,Laura Epple,20,0,0,0,0,0,0,Linksaußen,home
Spieltag 1,30062,Sportverein Allensbach,Kimberly Gisa,13,2,0,0,0,1,0,Kreisläufer,home
Spieltag 1,30062,Sportverein Allensbach,Nadja Greinert,8,1,0,0,0,0,0,Rückraum rechts,home
Spieltag 1,30062,Sportverein Allensbach,Dovile Ilciukaite,88,6,3,0,1,0,0,Rückraum Mitte,home
Spieltag 1,30062,Sportverein Allensbach,Leonie Kuntz,71,0,0,0,0,0,0,Torwart,home
Spieltag 1,30062,Sportverein Allensbach,Sophie Leenen,99,0,0,0,0,0,0,Torwart,home
Spieltag 1,30062,Sportverein Allensbach,Tabea Maier,10,7,1,0,1,1,0,Rückraum Mitte,home
Spieltag 1,30062,Sportverein Allensbach,Hannah Person,3,2,0,0,0,0,0,Linksaußen,home
Spieltag 1,30062,Sportverein Allensbach,Greta Rinkeviciute,21,0,0,0,0,0,0,Linksaußen,home
Spieltag 1,30062,Sportverein Allensbach,Sarah Rothmund,4,2,0,0,0,0,0,Kreisläufer,home
Spieltag 1,30062,Sportverein Allensbach,Leonie Scholl,63,0,0,0,0,0,0,Rückraum Links,home
Spieltag 1,30062,Sportverein Allensbach,Laura Strosack,72,0,0,0,1,0,0,Rückraum Links,home
Spieltag 1,30062,Sportverein Allensbach,Julia von Kampen,17,1,0,0,0,1,0,Rechtsaußen,home
Spieltag 1,30062,Sportverein Allensbach,Julia Willauer,5,0,0,0,0,0,0,Rückraum Links,home
Spieltag 1,30062,HCD Gröbenzell,Theresa Bauer,12,0,0,0,0,0,0,Torwart,away
Spieltag 1,30062,HCD Gröbenzell,Jana Epple,34,3,3,0,1,0,0,Rückraum Links,away
Spieltag 1,30062,HCD Gröbenzell,Katrin Friedrich,7,1,0,0,1,1,0,Rückraum Mitte,away
Spieltag 1,30062,HCD Gröbenzell,Belen Gettwart,4,0,0,0,0,0,0,Kreisläufer,away
Spieltag 1,30062,HCD Gröbenzell,Christine Königsmann,14,9,0,0,1,0,0,Rückraum rechts,away
Spieltag 1,30062,HCD Gröbenzell,Johanna Leubner,15,0,0,0,0,0,0,Linksaußen,away
Spieltag 1,30062,HCD Gröbenzell,Beatice Mazzucco,2,4,0,0,0,0,0,Linksaußen,away
Spieltag 1,30062,HCD Gröbenzell,Ramona Nittel,17,3,0,0,0,0,0,Rechtsaußen,away
Spieltag 1,30062,HCD Gröbenzell,Verena Obermeier,19,1,0,0,0,1,0,Kreisläufer,away
Spieltag 1,30062,HCD Gröbenzell,Lisa Salvermoser,22,0,0,0,0,0,0,Linksaußen,away
Spieltag 1,30062,HCD Gröbenzell,Lydia Sölva,89,0,0,0,0,0,0,Torwart,away
